protein,sample,value
RET,treat3,7.211
PTCH1,ctrl1,8.032
PTCH1,ctrl2,8.276
PTCH1,ctrl3,8.327
PTCH1,treat1,8.913
PTCH1,treat2,8.765
PTCH1,treat3,9.102
CCNE1,ctrl1,8.261
CCNE1,ctrl2,8.156
CCNE1,ctrl3,7.942
CCNE1,treat1,8.731
CCNE1,treat2,8.814
CCNE1,treat3,8.881
SMAD4,ctrl1,8.636
SMAD4,ctrl2,8.926
SMAD4,ctrl3,8.843
SMAD4,treat1,9.419
SMAD4,treat2,9.342
SMAD4,treat3,9.465
BRCA1,ctrl1,8.717
BRCA1,ctrl2,8.537
BRCA1,ctrl3,8.549
BRCA1,treat1,8.035
BRCA1,treat2,8.023
BRCA1,treat3,8.473
PDGFRA,ctrl1,8.829
PDGFRA,ctrl2,8.848
PDGFRA,ctrl3,8.963
PDGFRA,treat1,9.394
PDGFRA,treat2,9.279
PDGFRA,treat3,9.479
VHL,ctrl1,7.584
VHL,ctrl2,7.786
VHL,ctrl3,8.071
VHL,treat1,7.468
VHL,treat2,7.511
VHL,treat3,8.12
NF1,ctrl1,8.442
NF1,ctrl2,8.521
NF1,ctrl3,8.453
NF1,treat1,7.797
NF1,treat2,8.069
NF1,treat3,8.296
CCND1,ctrl1,7.054
CCND1,ctrl2,6.908
CCND1,ctrl3,7.589
CCND1,treat1,7.384
CCND1,treat2,7.053
CCND1,treat3,6.908
CDK4,ctrl1,7.857
CDK4,ctrl2,8.309
CDK4,ctrl3,8.27
CDK4,treat1,8.141
CDK4,treat2,8.23
CDK4,treat3,8.666
PIK3CA,ctrl1,8.144
PIK3CA,ctrl2,7.974
PIK3CA,ctrl3,8.318
PIK3CA,treat1,8.36
PIK3CA,treat2,8.565
PIK3CA,treat3,8.659
PBRM1,ctrl1,8.55
PBRM1,ctrl2,8.295
PBRM1,ctrl3,8.512
PBRM1,treat1,8.782
PBRM1,treat2,8.795
PBRM1,treat3,8.887
KEAP1,ctrl1,7.78
KEAP1,ctrl2,7.799
KEAP1,ctrl3,7.5
KEAP1,treat1,7.453
KEAP1,treat2,7.355
KEAP1,treat3,7.853
MYC,ctrl1,8.391
MYC,ctrl2,8.505
MYC,ctrl3,8.36
MYC,treat1,7.984
MYC,treat2,8.458
MYC,treat3,8.225
PALB2,ctrl1,7.906
PALB2,ctrl2,8.135
PALB2,ctrl3,7.612
PALB2,treat1,7.921
PALB2,treat2,7.948
PALB2,treat3,8.04
CDH1,ctrl1,8.307
CDH1,ctrl2,8.377
CDH1,ctrl3,8.327
CDH1,treat1,7.905
CDH1,treat2,8.239
CDH1,treat3,8.115
ARID1A,ctrl1,8.515
ARID1A,ctrl2,8.355
ARID1A,ctrl3,8.323
ARID1A,treat1,8.7
ARID1A,treat2,8.558
ARID1A,treat3,8.702
MLH1,ctrl1,8.203
MLH1,ctrl2,8.227
MLH1,ctrl3,8.153
MLH1,treat1,8.32
MLH1,treat2,8.184
MLH1,treat3,8.586
GLI1,ctrl1,8.692
GLI1,ctrl2,8.738
GLI1,ctrl3,8.901
GLI1,treat1,8.838
GLI1,treat2,9.056
GLI1,treat3,9.026
SMO,ctrl1,8.97
SMO,ctrl2,8.789
SMO,ctrl3,8.83
SMO,treat1,9.058
SMO,treat2,9.053
SMO,treat3,9.148
FLT3,ctrl1,8.747
FLT3,ctrl2,8.845
FLT3,ctrl3,8.755
FLT3,treat1,8.677
FLT3,treat2,8.522
FLT3,treat3,8.923
PTEN,ctrl1,8.86
PTEN,ctrl2,9.09
PTEN,ctrl3,8.876
PTEN,treat1,8.661
PTEN,treat2,8.94
PTEN,treat3,8.878
KIT,ctrl1,9.089
KIT,ctrl2,8.914
KIT,ctrl3,9.065
KIT,treat1,8.709
KIT,treat2,8.948
KIT,treat3,8.926
STK11,ctrl1,8.228
STK11,ctrl2,8.232
STK11,ctrl3,8.525
STK11,treat1,8.344
STK11,treat2,8.166
STK11,treat3,8.215
CDK6,ctrl1,8.924
CDK6,ctrl2,8.992
CDK6,ctrl3,9.017
CDK6,treat1,8.709
CDK6,treat2,8.826
CDK6,treat3,8.786
ATM,ctrl1,8.682
ATM,ctrl2,8.521
ATM,ctrl3,8.827
ATM,treat1,8.743
ATM,treat2,8.786
ATM,treat3,8.843
APC,ctrl1,8.727
APC,ctrl2,8.706
APC,ctrl3,8.856
APC,treat1,8.609
APC,treat2,8.727
APC,treat3,8.896
MET,ctrl1,8.542
MET,ctrl2,8.501
MET,ctrl3,8.475
MET,treat1,8.4
MET,treat2,8.347
MET,treat3,8.268
MSH2,ctrl1,8.28
MSH2,ctrl2,8.182
MSH2,ctrl3,8.255
MSH2,treat1,8.403
MSH2,treat2,8.408
MSH2,treat3,8.181
NF2,ctrl1,8.685
NF2,ctrl2,8.765
NF2,ctrl3,8.904
NF2,treat1,8.693
NF2,treat2,8.618
NF2,treat3,8.746
RB1,ctrl1,8.888
RB1,ctrl2,8.92
RB1,ctrl3,8.889
RB1,treat1,8.86
RB1,treat2,8.752
RB1,treat3,9.012
FBXW7,ctrl1,8.242
FBXW7,ctrl2,8.098
FBXW7,ctrl3,8.245
FBXW7,treat1,8.118
FBXW7,treat2,8.108
FBXW7,treat3,8.125
ALK,ctrl1,8.614
ALK,ctrl2,8.592
ALK,ctrl3,8.65
ALK,treat1,8.687
ALK,treat2,8.548
ALK,treat3,8.533
BRCA2,ctrl1,8.356
BRCA2,ctrl2,8.252
BRCA2,ctrl3,8.337
BRCA2,treat1,8.43
BRCA2,treat2,8.363
BRCA2,treat3,8.367
