gene1,gene2,corr
22,38,0.9406
22,12,-0.939
22,17,-0.9382
22,31,0.887
22,42,0.9006
22,29,-0.9368
22,48,0.8703
22,6,0.8543
22,49,0.8543
22,41,0.8032
22,40,0.8697
22,35,0.683
22,33,-0.9154
22,0,-0.8101
22,45,-0.8783
22,14,-0.9372
22,30,0.7569
22,25,-0.866
22,27,0.8114
22,28,0.6401
22,7,-0.0114
22,1,0.6931
22,23,0.0189
22,3,-0.3177
22,20,-0.4599
22,32,0.5611
22,19,0.2751
22,5,-0.1998
22,4,0.495
22,37,0.1249
22,34,0.7691
22,43,0.1826
22,9,0.6597
22,11,-0.6566
22,44,-0.0916
22,8,0.5408
22,13,-0.2545
22,36,-0.7348
22,26,0.2158
22,46,0.1751
2,24,-0.9501
2,15,0.973
2,21,0.9697
2,47,0.9728
2,10,-0.9779
2,38,0.9603
2,12,-0.9598
2,17,-0.9562
2,31,0.9284
2,42,0.9043
2,29,-0.9445
2,48,0.8759
2,6,0.8825
2,49,0.8835
2,41,0.8433
2,40,0.8531
2,35,0.7128
2,33,-0.9078
2,0,-0.7892
2,45,-0.8691
2,14,-0.8902
2,30,0.7477
2,25,-0.8168
2,27,0.8151
2,28,0.6075
2,7,0.063
2,1,0.7393
2,23,0.0366
2,3,-0.2348
2,20,-0.3967
2,32,0.5872
2,19,0.2606
2,5,-0.2044
2,4,0.41
2,37,0.0314
2,34,0.7292
2,43,0.0809
2,9,0.6313
2,11,-0.5908
2,44,-0.0589
2,8,0.589
2,13,-0.3119
2,36,-0.7342
2,26,0.1183
2,46,0.1303
24,15,-0.9599
24,21,-0.9918
24,47,-0.9673
24,10,0.8974
24,38,-0.9205
24,12,0.9372
24,17,0.9498
24,31,-0.8788
24,42,-0.9624
24,29,0.9789
24,48,-0.9087
24,6,-0.9196
24,49,-0.8751
24,41,-0.8458
24,40,-0.8881
24,35,-0.6176
24,33,0.9048
24,0,0.7547
24,45,0.9359
24,14,0.9233
24,30,-0.8965
24,25,0.9018
24,27,-0.7964
24,28,-0.6667
24,7,0.2273
24,1,-0.6335
24,23,-0.0744
24,3,0.427
24,20,0.3132
24,32,-0.3606
24,19,-0.2147
24,5,0.1144
24,4,-0.5307
24,37,-0.2763
24,34,-0.828
24,43,-0.3153
24,9,-0.6388
24,11,0.7246
24,44,0.1723
24,8,-0.6522
24,13,0.2564
24,36,0.7682
24,26,-0.3049
24,46,-0.3568
15,21,0.9645
15,47,0.9302
15,10,-0.936
15,38,0.9813
15,12,-0.9862
15,17,-0.9869
15,31,0.9482
15,42,0.9597
15,29,-0.9744
15,48,0.9452
15,6,0.8976
15,49,0.8931
15,41,0.9136
15,40,0.9133
15,35,0.5475
15,33,-0.8473
15,0,-0.789
15,45,-0.851
15,14,-0.8622
15,30,0.8235
15,25,-0.8808
15,27,0.7556
15,28,0.7496
15,7,0.0004
15,1,0.7582
15,23,-0.1264
15,3,-0.206
15,20,-0.2458
15,32,0.5467
15,19,0.1272
15,5,-0.3342
15,4,0.5293
15,37,0.1138
15,34,0.8481
15,43,0.135
15,9,0.5769
15,11,-0.5602
15,44,-0.1376
15,8,0.5518
15,13,-0.1493
15,36,-0.6829
15,26,0.0822
15,46,0.34
21,47,0.9864
21,10,-0.9198
21,38,0.9417
21,12,-0.9467
21,17,-0.9439
21,31,0.886
21,42,0.9518
21,29,-0.9713
21,48,0.9166
21,6,0.8955
21,49,0.8434
21,41,0.8291
21,40,0.9101
21,35,0.6587
21,33,-0.8907
21,0,-0.7279
21,45,-0.8998
21,14,-0.9366
21,30,0.8381
21,25,-0.8778
21,27,0.8545
21,28,0.6299
21,7,-0.1807
21,1,0.6984
21,23,0.0751
21,3,-0.4319
21,20,-0.3814
21,32,0.4596
21,19,0.3106
21,5,-0.1001
21,4,0.5075
21,37,0.184
21,34,0.8085
21,43,0.2371
21,9,0.7111
21,11,-0.7416
21,44,-0.0638
21,8,0.623
21,13,-0.2691
21,36,-0.8132
21,26,0.2499
21,46,0.2873
47,10,-0.94
47,38,0.9173
47,12,-0.9189
47,17,-0.9114
47,31,0.868
47,42,0.9023
47,29,-0.9389
47,48,0.859
47,6,0.8796
47,49,0.8272
47,41,0.7778
47,40,0.8536
47,35,0.7703
47,33,-0.9129
47,0,-0.7011
47,45,-0.8951
47,14,-0.9291
47,30,0.7735
47,25,-0.8057
47,27,0.8897
47,28,0.5088
47,7,-0.1289
47,1,0.689
47,23,0.1976
47,3,-0.4349
47,20,-0.4603
47,32,0.4821
47,19,0.4032
47,5,0.0015
47,4,0.394
47,37,0.1005
47,34,0.7045
47,43,0.1707
47,9,0.7386
47,11,-0.7428
47,44,0.0088
47,8,0.6571
47,13,-0.3948
47,36,-0.8449
47,26,0.2466
47,46,0.1317
10,38,-0.9475
10,12,0.9513
10,17,0.9457
10,31,-0.9573
10,42,-0.8703
10,29,0.9209
10,48,-0.8361
10,6,-0.9054
10,49,-0.9059
10,41,-0.8665
10,40,-0.7755
10,35,-0.7765
10,33,0.8833
10,0,0.7242
10,45,0.8412
10,14,0.7854
10,30,-0.7072
10,25,0.6932
10,27,-0.8012
10,28,-0.495
10,7,-0.1733
10,1,-0.7684
10,23,-0.123
10,3,0.1088
10,20,0.2972
10,32,-0.5852
10,19,-0.248
10,5,0.1558
10,4,-0.2227
10,37,0.1214
10,34,-0.609
10,43,0.0826
10,9,-0.5656
10,11,0.4747
10,44,0.0026
10,8,-0.6786
10,13,0.4472
10,36,0.721
10,26,0.0195
10,46,-0.0157
38,12,-0.995
38,17,-0.9737
38,31,0.9711
38,42,0.9502
38,29,-0.9612
38,48,0.9611
38,6,0.8869
38,49,0.8516
38,41,0.9255
38,40,0.9222
38,35,0.5752
38,33,-0.7762
38,0,-0.6761
38,45,-0.7767
38,14,-0.8013
38,30,0.7617
38,25,-0.7901
38,27,0.8169
38,28,0.6661
38,7,0.0509
38,1,0.8659
38,23,-0.1057
38,3,-0.1676
38,20,-0.2049
38,32,0.6298
38,19,0.2225
38,5,-0.2886
38,4,0.424
38,37,-0.0591
38,34,0.793
38,43,-0.0351
38,9,0.6342
38,11,-0.5302
38,44,0.0334
38,8,0.5744
38,13,-0.198
38,36,-0.742
38,26,-0.0759
38,46,0.278
12,17,0.9905
12,31,-0.9824
12,42,-0.967
12,29,0.9793
12,48,-0.9596
12,6,-0.9254
12,49,-0.8939
12,41,-0.9504
12,40,-0.9046
12,35,-0.5777
12,33,0.8052
12,0,0.6987
12,45,0.8208
12,14,0.795
12,30,-0.814
12,25,0.8019
12,27,-0.7898
12,28,-0.6767
12,7,-0.0246
12,1,-0.8269
12,23,0.0742
12,3,0.1612
12,20,0.1544
12,32,-0.5564
12,19,-0.1625
12,5,0.2783
12,4,-0.4144
12,37,0.0072
12,34,-0.7958
12,43,-0.0073
12,9,-0.5857
12,11,0.5195
12,44,0.04
12,8,-0.6284
12,13,0.2281
12,36,0.7255
12,26,0.0402
12,46,-0.3071
17,31,-0.977
17,42,-0.9674
17,29,0.9845
17,48,-0.9355
17,6,-0.9498
17,49,-0.9413
17,41,-0.9585
17,40,-0.8674
17,35,-0.5671
17,33,0.8494
17,0,0.7621
17,45,0.8734
17,14,0.7966
17,30,-0.8618
17,25,0.8299
17,27,-0.7262
17,28,-0.7089
17,7,-0.0145
17,1,-0.7466
17,23,0.0615
17,3,0.1409
17,20,0.1246
17,32,-0.4704
17,19,-0.0625
17,5,0.2997
17,4,-0.43
17,37,-0.0854
17,34,-0.8004
17,43,-0.0896
17,9,-0.5021
17,11,0.4943
17,44,0.1703
17,8,-0.6535
17,13,0.236
17,36,0.6676
17,26,-0.0343
17,46,-0.3339
31,42,0.9257
31,29,-0.9471
31,48,0.9108
31,6,0.9362
31,49,0.9196
31,41,0.9702
31,40,0.8188
31,35,0.6007
31,33,-0.7792
31,0,-0.665
31,45,-0.7919
31,14,-0.6879
31,30,0.7776
31,25,-0.6984
31,27,0.7336
31,28,0.6044
31,7,0.1439
31,1,0.8268
31,23,-0.0341
31,3,-0.0129
31,20,-0.0447
31,32,0.541
31,19,0.0936
31,5,-0.281
31,4,0.265
31,37,-0.1186
31,34,0.6941
31,43,-0.1206
31,9,0.4796
31,11,-0.3808
31,44,-0.0409
31,8,0.6843
31,13,-0.3161
31,36,-0.6663
31,26,-0.1587
31,46,0.2229
42,29,-0.9915
42,48,0.9765
42,6,0.9364
42,49,0.8627
42,41,0.9345
42,40,0.9275
42,35,0.4923
42,33,-0.7822
42,0,-0.647
42,45,-0.8538
42,14,-0.8119
42,30,0.9156
42,25,-0.8557
42,27,0.7755
42,28,0.7089
42,7,-0.2177
42,1,0.7408
42,23,-0.043
42,3,-0.3259
42,20,-0.0915
42,32,0.3758
42,19,0.1438
42,5,-0.1931
42,4,0.507
42,37,0.1805
42,34,0.8652
42,43,0.1886
42,9,0.6013
42,11,-0.6307
42,44,-0.1078
42,8,0.6655
42,13,-0.1765
42,36,-0.7552
42,26,0.1043
42,46,0.4854
29,48,-0.9536
29,6,-0.9597
29,49,-0.9059
29,41,-0.9329
29,40,-0.8995
29,35,-0.5851
29,33,0.8489
29,0,0.6998
29,45,0.8967
29,14,0.8366
29,30,-0.9044
29,25,0.8475
29,27,-0.7903
29,28,-0.6717
29,7,0.1494
29,1,-0.7301
29,23,-0.0243
29,3,0.2996
29,20,0.1536
29,32,-0.3983
29,19,-0.1597
29,5,0.1702
29,4,-0.4537
29,37,-0.1518
29,34,-0.8206
29,43,-0.1682
29,9,-0.5941
29,11,0.6206
29,44,0.1227
29,8,-0.7006
29,13,0.2641
29,36,0.7597
29,26,-0.1238
29,46,-0.3828
48,6,0.8576
48,49,0.7714
48,41,0.9158
48,40,0.9724
48,35,0.4077
48,33,-0.6703
48,0,-0.5711
48,45,-0.731
48,14,-0.7757
48,30,0.824
48,25,-0.8248
48,27,0.7942
48,28,0.7269
48,7,-0.1673
48,1,0.8396
48,23,-0.1781
48,3,-0.2919
48,20,-0.0925
48,32,0.5107
48,19,0.2012
48,5,-0.2701
48,4,0.5406
48,37,0.0698
48,34,0.886
48,43,0.0804
48,9,0.6589
48,11,-0.6041
48,44,0.0297
48,8,0.5444
48,13,-0.0546
48,36,-0.7559
48,26,-0.0315
48,46,0.5042
6,49,0.9523
6,41,0.9339
6,40,0.7487
6,35,0.6478
6,33,-0.8537
6,0,-0.6489
6,45,-0.9187
6,14,-0.7083
6,30,0.9133
6,25,-0.7161
6,27,0.7065
6,28,0.534
6,7,-0.1067
6,1,0.6366
6,23,0.1951
6,3,-0.1933
6,20,-0.0051
6,32,0.2387
6,19,0.0656
6,5,-0.0626
6,4,0.2397
6,37,0.1095
6,34,0.6648
6,43,0.1057
6,9,0.44
6,11,-0.4951
6,44,-0.1893
6,8,0.8517
6,13,-0.4531
6,36,-0.6993
6,26,0.0917
6,46,0.2875
49,41,0.9096
49,40,0.6555
49,35,0.6067
49,33,-0.896
49,0,-0.8134
49,45,-0.9171
49,14,-0.6843
49,30,0.8532
49,25,-0.7304
49,27,0.5473
49,28,0.6123
49,7,0.1046
49,1,0.5403
49,23,0.0762
49,3,0.0035
49,20,-0.0333
49,32,0.2741
49,19,-0.1306
49,5,-0.2625
49,4,0.2661
49,37,0.1418
49,34,0.6353
49,43,0.1246
49,9,0.2541
49,11,-0.3274
49,44,-0.3814
49,8,0.7356
49,13,-0.3835
49,36,-0.4993
49,26,0.1035
49,46,0.2161
41,40,0.8023
41,35,0.4296
41,33,-0.6982
41,0,-0.6245
41,45,-0.7652
41,14,-0.604
41,30,0.8457
41,25,-0.7073
41,27,0.6199
41,28,0.6836
41,7,0.0507
41,1,0.7655
41,23,-0.1272
41,3,0.0188
41,20,0.1534
41,32,0.3986
41,19,-0.0737
41,5,-0.3475
41,4,0.3214
41,37,-0.0089
41,34,0.747
41,43,-0.045
41,9,0.3621
41,11,-0.3194
41,44,-0.1564
41,8,0.6792
41,13,-0.2018
41,36,-0.5776
41,26,-0.1635
41,46,0.4148
40,35,0.37
40,33,-0.6335
40,0,-0.5556
40,45,-0.6715
40,14,-0.8406
40,30,0.7448
40,25,-0.8579
40,27,0.8214
40,28,0.7315
40,7,-0.2328
40,1,0.8138
40,23,-0.2269
40,3,-0.4205
40,20,-0.2636
40,32,0.5692
40,19,0.3178
40,5,-0.2574
40,4,0.6544
40,37,0.1216
40,34,0.9135
40,43,0.1596
40,9,0.764
40,11,-0.7083
40,44,0.0958
40,8,0.3971
40,13,0.054
40,36,-0.7753
40,26,0.061
40,46,0.5019
35,33,-0.7679
35,0,-0.4036
35,45,-0.6778
35,14,-0.5961
35,30,0.3813
35,25,-0.2851
35,27,0.7479
35,28,-0.1067
35,7,0.102
35,1,0.4455
35,23,0.6687
35,3,-0.2709
35,20,-0.5082
35,32,0.3444
35,19,0.5601
35,5,0.411
35,4,-0.2217
35,37,-0.2408
35,34,0.0908
35,43,-0.144
35,9,0.5602
35,11,-0.4881
35,44,0.2179
35,8,0.7181
35,13,-0.8442
35,36,-0.7182
35,26,0.142
35,46,-0.4768
33,0,0.8563
33,45,0.966
33,14,0.8658
33,30,-0.7709
33,25,0.7783
33,27,-0.6484
33,28,-0.4939
33,7,0.0313
33,1,-0.4043
33,23,-0.2667
33,3,0.2942
33,20,0.4374
33,32,-0.2723
33,19,-0.1347
33,5,0.0462
33,4,-0.3362
33,37,-0.2745
33,34,-0.5838
33,43,-0.3243
33,9,-0.444
33,11,0.5795
33,44,0.3277
33,8,-0.6579
33,13,0.4583
33,36,0.6022
33,26,-0.4232
33,46,-0.0438
0,45,0.7932
0,14,0.7592
0,30,-0.6376
0,25,0.8273
0,27,-0.3203
0,28,-0.752
0,7,-0.1894
0,1,-0.2791
0,23,0.1993
0,3,0.0099
0,20,0.3672
0,32,-0.3417
0,19,0.2334
0,5,0.5129
0,4,-0.5702
0,37,-0.3878
0,34,-0.6633
0,43,-0.3973
0,9,-0.1564
0,11,0.3047
0,44,0.5905
0,8,-0.2663
0,13,0.0227
0,36,0.2157
0,26,-0.3689
0,46,-0.1899
45,14,0.8363
45,30,-0.9018
45,25,0.8108
45,27,-0.6348
45,28,-0.5429
45,7,0.2124
45,1,-0.3882
45,23,-0.2712
45,3,0.3632
45,20,0.2607
45,32,-0.1146
45,19,-0.0627
45,5,0.0064
45,4,-0.3761
45,37,-0.3848
45,34,-0.6581
45,43,-0.4108
45,9,-0.422
45,11,0.619
45,44,0.3847
45,8,-0.7521
45,13,0.4289
45,36,0.63
45,26,-0.4501
45,46,-0.2411
14,30,-0.7132
14,25,0.9068
14,27,-0.7808
14,28,-0.615
14,7,0.2586
14,1,-0.5115
14,23,-0.0484
14,3,0.5811
14,20,0.6309
14,32,-0.4301
14,19,-0.3721
14,5,0.08
14,4,-0.6496
14,37,-0.3545
14,34,-0.7853
14,43,-0.4408
14,9,-0.7365
14,11,0.8338
14,44,0.1154
14,8,-0.4003
14,13,0.1371
14,36,0.7321
14,26,-0.4869
14,46,-0.2453
30,25,-0.8262
30,27,0.5549
30,28,0.6773
30,7,-0.4041
30,1,0.4273
30,23,0.0699
30,3,-0.3665
30,20,0.0644
30,32,-0.0124
30,19,-0.0861
30,5,-0.1017
30,4,0.4929
30,37,0.4684
30,34,0.7973
30,43,0.4467
30,9,0.3647
30,11,-0.5826
30,44,-0.402
30,8,0.7281
30,13,-0.1964
30,36,-0.5906
30,26,0.3385
30,46,0.6001
25,27,-0.564
25,28,-0.8756
25,7,0.277
25,1,-0.4529
25,23,0.2558
25,3,0.4206
25,20,0.338
25,32,-0.3119
25,19,-0.0051
25,5,0.3774
25,4,-0.8334
25,37,-0.5341
25,34,-0.9463
25,43,-0.5578
25,9,-0.5023
25,11,0.6725
25,44,0.3847
25,8,-0.3104
25,13,-0.1484
25,36,0.5193
25,26,-0.4446
25,46,-0.5743
27,28,0.2376
27,7,-0.2126
27,1,0.799
27,23,0.2875
27,3,-0.5457
27,20,-0.4624
27,32,0.56
27,19,0.7268
27,5,0.2417
27,4,0.2174
27,37,-0.1707
27,34,0.5427
27,43,-0.073
27,9,0.9306
27,11,-0.7892
27,44,0.4477
27,8,0.5961
27,13,-0.4266
27,36,-0.9794
27,26,0.0434
27,46,0.0262
28,7,-0.0598
28,1,0.4103
28,23,-0.6508
28,3,-0.0449
28,20,-0.0108
28,32,0.3229
28,19,-0.3567
28,5,-0.7441
28,4,0.8573
28,37,0.4608
28,34,0.9226
28,43,0.4184
28,9,0.1755
28,11,-0.2886
28,44,-0.497
28,8,0.0464
28,13,0.4842
28,36,-0.1648
28,26,0.1586
28,46,0.727
7,1,0.1846
7,23,-0.2675
7,3,0.8533
7,20,0.0234
7,32,0.5321
7,19,-0.2519
7,5,-0.4975
7,4,-0.3713
7,37,-0.6462
7,34,-0.3074
7,43,-0.6746
7,9,-0.3605
7,11,0.6746
7,44,0.0427
7,8,-0.2126
7,13,-0.0651
7,36,0.375
7,26,-0.6198
7,46,-0.5658
1,23,-0.174
1,3,-0.032
1,20,-0.0925
1,32,0.7948
1,19,0.4082
1,5,-0.2263
1,4,0.1841
1,37,-0.4697
1,34,0.5682
1,43,-0.443
1,9,0.6765
1,11,-0.3525
1,44,0.4667
1,8,0.402
1,13,-0.1404
1,36,-0.7165
1,26,-0.4799
1,46,0.1302
23,3,-0.3793
23,20,-0.1966
23,32,-0.3645
23,19,0.4713
23,5,0.9015
23,4,-0.5886
23,37,-0.0809
23,34,-0.4339
23,43,-0.01
23,9,0.1964
23,11,-0.2924
23,44,0.2064
23,8,0.6198
23,13,-0.8947
23,36,-0.3918
23,26,0.3026
23,46,-0.5175
3,20,0.5127
3,32,0.1503
3,19,-0.6267
3,5,-0.5573
3,4,-0.4174
3,37,-0.4927
3,34,-0.362
3,43,-0.5999
3,9,-0.7124
3,11,0.9208
3,44,-0.1717
3,8,-0.2235
3,13,0.101
3,36,0.6446
3,26,-0.6877
3,46,-0.2696
20,32,-0.4378
20,19,-0.6296
20,5,-0.175
20,4,-0.2978
20,37,-0.097
20,34,-0.1385
20,43,-0.2514
20,9,-0.5982
20,11,0.587
20,44,-0.194
20,8,0.1387
20,13,0.125
20,36,0.3851
20,26,-0.4909
20,46,0.3818
32,19,0.3991
32,5,-0.4214
32,4,0.2063
32,37,-0.5488
32,34,0.3538
32,43,-0.486
32,9,0.5394
32,11,-0.1482
32,44,0.4613
32,8,-0.0883
32,13,0.0683
32,36,-0.3927
32,26,-0.4534
32,46,-0.2001
19,5,0.6172
19,4,-0.1055
19,37,-0.3443
19,34,-0.0224
19,43,-0.1977
19,9,0.8494
19,11,-0.6437
19,44,0.8033
19,8,0.1778
19,13,-0.3906
19,36,-0.7372
19,26,0.0484
19,46,-0.3636
5,4,-0.5162
5,37,-0.0665
5,34,-0.4654
5,43,0.0151
5,9,0.2912
5,11,-0.3608
5,44,0.4254
5,8,0.3921
5,13,-0.6605
5,36,-0.3809
5,26,0.2822
5,46,-0.3844
4,37,0.6606
4,34,0.8598
4,43,0.6728
4,9,0.3364
4,11,-0.5246
4,44,-0.3759
4,8,-0.2117
4,13,0.638
4,36,-0.1786
4,26,0.4606
4,46,0.7287
37,34,0.4384
37,43,0.9859
37,9,-0.0912
37,11,-0.3943
37,44,-0.7383
37,8,-0.0231
37,13,0.3228
37,36,0.094
37,26,0.8602
37,46,0.6108
34,43,0.4366
34,9,0.5063
34,11,-0.6034
34,44,-0.2597
34,8,0.239
34,13,0.3165
34,36,-0.5061
34,26,0.234
34,46,0.7405
43,9,0.0322
43,11,-0.5042
43,44,-0.6546
43,8,-0.0242
43,13,0.272
43,36,0.001
43,26,0.9228
43,46,0.5341
9,11,-0.8655
9,44,0.5605
9,8,0.3188
9,13,-0.2059
9,36,-0.9196
9,26,0.1413
9,46,0.0647
11,44,-0.1576
11,8,-0.3899
11,13,0.1743
11,36,0.8344
11,26,-0.5841
11,46,-0.2853
44,8,-0.0304
44,13,-0.2081
44,36,-0.4423
44,26,-0.5086
44,46,-0.3877
8,13,-0.7807
8,36,-0.6634
8,26,0.0714
8,46,0.0335
13,36,0.4694
13,26,-0.0255
13,46,0.5805
36,26,-0.1132
36,46,-0.0865
26,46,0.1964
